spend,icac_mean,icac_lo95,icac_hi95,ltv_mean
253474.2243913044,312.1905171197636,251.90412211294887,502.47189377816034,168977.02416189224
254500.435826087,312.39211654557715,251.90655443448435,503.2851760757273,169551.65254976333
255526.64726086962,312.5379456282421,251.90899657404017,504.08197847327983,170155.89709349637
256552.85869565222,312.60085565308333,251.91144853150072,504.88135816817606,170804.87690729235
257579.07013043482,312.6621948530328,251.9140284166478,505.6833086876189,171454.44947957125
258605.28156521745,312.8234827266214,251.9548606833469,506.4878235522811,172048.78930980718
259631.49300000005,312.8900222977648,251.99683306887167,507.2948962764692,172694.78374424647
260657.70443478264,312.9652872488499,252.04038523467062,508.10452036828747,173335.67565141217
261683.91586956527,313.08474164019435,252.0908305791059,508.9166893298006,173951.7045890602
262710.1273043479,313.20748508586985,252.1278828429021,509.7313966571971,174565.4313137453
263736.3387391305,313.31946297721476,252.17130473855687,510.54863584095096,175184.69506912623
264762.55017391307,313.5418349824579,252.21200081756152,511.3684003659841,175741.621943751
265788.7616086957,313.6481791688915,252.2586231978235,512.1906837118277,176362.97521760623
266814.9730434783,313.74856830562413,252.30216373795346,513.0154793527824,176987.2616178571
267841.1844782609,313.80887780416936,252.34540993187142,513.8427807580798,177633.83624626632
268867.3959130435,313.8810714005933,252.38881901704593,514.6725813920417,178273.41591583146
269893.6073478261,313.9755203404751,252.43239095809054,515.5048747142392,178900.01242141114
270919.8187826087,314.0324459308384,252.47612571949242,516.3396541796536,179547.68749552194
271946.0302173914,314.11995049693553,252.52045531932407,517.1769132388322,180177.5878656562
272972.241652174,314.1650218763747,252.56557348374383,518.0166453380484,180831.55591536307
273998.4530869566,314.2590238904411,252.61085826801101,519.1034868551211,181457.08183430883
275024.6645217392,314.4089390738475,252.65630963524546,520.2377337657059,182049.84768351083
276050.8759565218,314.49466076914337,252.70192754843885,521.3748125643967,182679.3316848745
277077.0873913044,314.61770347016676,252.72919915510047,522.9290508192868,183286.74628105797
278103.29882608703,314.73790711082256,252.75383820691795,524.5400702787946,183895.32376423018
279129.51026086963,314.93814137302763,252.77856708462883,526.1534352302397,184456.5386628746
280155.72169565223,315.04867373238164,252.80338577451028,527.769125423975,185069.73469776934
281181.93313043483,315.1137437670952,252.8538134590881,529.3871207417251,185709.29506287305
282208.14456521743,315.3037079856231,252.8593704724133,531.0074011964207,186274.76603682444
283234.356,315.3312350291625,252.87250733153033,532.5603900452215,186935.80875302103
284260.5674347827,315.40973758331086,252.89514289990925,533.9223157415422,187566.41950775776
285286.7788695653,315.49027859264004,252.91785949566173,535.627753477938,188195.49589553318
286312.9903043479,315.51283202507375,252.94065710978722,537.3351259230436,188858.9579931209
287339.2017391305,315.64103814838586,252.96417973929658,539.0444134506602,189458.89182591403
288365.4131739131,315.7875892334683,252.98816111146436,540.755596595241,190047.2939337399
289391.6246086957,315.9208664174902,253.0122270319665,542.4686560512359,190643.16039745533
290417.83604347834,316.04270379307104,253.04963004012902,544.1510252745345,191245.43526617333
291444.04747826094,316.07244129857537,253.09563294025253,545.8066642077544,191903.15980138083
292470.25891304354,316.2355116592386,253.1417946400425,547.4643756826734,192479.5679326796
293496.47034782614,316.5018667610675,253.18811510343107,549.1241409222914,192992.38398345828
294522.68178260874,316.6466433419705,253.23459429423374,550.7859412816313,193578.63539561722
295548.89321739133,316.83488820893035,253.28123217614896,552.2927202757434,194137.71037288557
296575.104652174,317.0632744203243,253.3280287127585,553.3260427795146,194671.47228454542
297601.3160869566,317.12862576238365,253.3705221646472,554.9817468686251,195304.82208355633
298627.5275217392,317.1627057928612,253.37872385179983,556.6394472461653,195957.22723396408
299653.7389565218,317.2284029628691,253.38695365402612,558.2991259534922,196589.8993175035
300679.9503913044,317.3445240436543,253.39521157011475,559.9607651580383,197190.97588907823
301706.161826087,317.4360885142587,253.40349759885078,561.6243471529767,197806.9024879018
302732.37326086964,317.50481547767134,253.4118117390144,563.2898543568789,198436.7585068709
303758.58469565224,317.5603354399693,253.4201539893823,564.9572693133613,199074.61008824536
304784.79613043484,317.7005720344267,253.42852434872677,566.6265746907267,199659.00004975084
305811.00756521744,317.7716662380497,253.4504172093931,568.2977532815938,200286.44997347853
306837.21900000004,317.8546726409289,253.6127622986535,569.9707880025234,200906.05781199678
